COUNTY,DEMOCRATS,REPUBLICANS,LIBERTARIANS,UNAFFILIATED,WHITE,BLACK,AMERICAN INDIAN,OTHER,HISPANIC,MALE,FEMALE,TOTAL,VOTED
ALAMANCE,39529,33130,440,28037,72449,20715,273,7699,2770,44140,54471,101136,70364
ALEXANDER,6553,10749,71,7056,22683,1006,33,707,232,11651,12541,24429,18356
ALLEGHANY,2813,2557,36,2064,7132,83,12,243,166,3495,3903,7470,5351
ANSON,11939,2456,19,3002,7514,7682,37,2183,58,7013,8311,17416,10494
ASHE,5668,8060,65,5251,18479,104,22,439,177,8934,9962,19044,13549
AVERY,1493,7029,49,3388,11546,94,23,296,83,5527,6342,11959,8233
BEAUFORT,13896,10743,98,8585,23509,8395,43,1375,312,1484,17679,33322,23919
BERTIE,10309,1541,19,23379,5059,8584,19,586,26,6158,7696,14248,9247
BLADEN,13713,3462,33,5878,13404,8560,419,703,303,10529,12407,23086,15892
BRUNSWICK,27092,35487,339,32397,81983,8971,285,4076,991,43445,49984,95315,68258
BUNCOMBE,78237,47793,1287,71055,172932,11420,445,13575,3029,88822,104478,198372,139029
BURKE,19317,20667,254,18324,52314,3509,89,2650,672,27394,30805,58562,38938
CABARRUS,41399,49354,669,41110,98851,23187,347,10147,3863,59498,70288,132532,92576
CALDWELL,15152,24845,338,15153,50852,2932,65,1639,672,26255,28862,55488,36387
CAMDEN,2499,2343,43,2798,6291,1104,15,273,30,3704,3909,7683,5007
CARTERET,12934,22223,228,17580,47974,2772,110,2109,456,24307,27453,52965,37486
CASWELL,8266,3705,32,3826,9810,5415,24,580,111,7130,8426,15829,10611
CATAWBA,27509,44883,389,31896,88469,9562,137,6509,2284,48150,55422,104677,72276
CHATHAM,20770,13167,215,17298,40485,6450,108,4407,1256,22498,26443,51450,39930
CHEROKEE,6552,9951,112,7242,23008,255,151,443,166,11164,12620,23857,14089
CHOWAN,5108,2610,23,2651,6858,3244,12,278,36,4646,5665,10392,6754
CLAY,2231,3628,36,3145,8751,49,18,221,51,4277,4681,9039,6004
CLEVELAND,26797,20451,209,16313,47379,13929,92,2370,540,28652,34130,63770,44688
COLUMBUS,21467,6709,53,8394,23142,11538,1024,919,210,16509,19889,36623,23654
CRAVEN,25461,24821,353,21388,51359,16303,168,4193,1444,32274,38633,72023,46893
CUMBERLAND,99264,48845,997,62909,95409,87276,2281,27049,10663,90199,111117,212015,126265
CURRITUCK,4173,6750,128,7821,17161,1028,52,631,141,8990,9645,18872,12576
DARE,9279,8902,196,11157,28013,575,35,911,220,14002,15271,29534,19412
DAVIDSON,27751,49405,414,28362,91562,10008,268,4094,1458,49069,56031,105932,72979
DAVIE,5735,15177,95,8539,26314,1988,38,1206,407,13767,15583,29546,21755
DUPLIN,14476,8177,92,7432,18940,9229,49,959,1282,13245,16079,30177,20775
DURHAM,129682,29895,1079,71772,114904,86460,633,30431,7649,99032,124459,232428,153870
EDGECOMBE,27483,6235,71,4815,14074,23455,60,1014,319,16848,21381,38603,24845
FORSYTH,106765,77076,1170,71152,164857,70785,526,1995,7675,111462,137410,256163,175712
FRANKLIN,18617,13191,191,11548,29377,11642,128,2400,818,19976,22431,43547,30449
GASTON,46265,54484,607,41434,110423,23568,364,8435,2933,63575,76243,142790,96262
GATES,4740,1737,23,2155,5342,2944,13,356,32,3860,4481,8655,5383
GRAHAM,2015,2808,17,1594,5974,4,311,145,45,3083,3283,6434,4209
GRANVILLE,19077,9252,139,9588,23571,12481,82,1922,627,16770,19743,38056,27299
GREENE,6759,2064,24,2610,6580,4392,11,474,310,5270,6121,11457,8073
GUILFORD,169233,95851,1647,98918,207676,127216,1038,29719,8056,160475,200098,365649,256810
HALIFAX,26111,4708,82,7936,15380,20919,1136,1402,220,17054,21309,38837,25064
HARNETT,27136,25487,478,20337,50031,16608,497,6302,2784,32659,39319,73438,45625
HAYWOOD,17415,13292,211,13414,42517,472,112,1231,321,20355,23666,44332,30802
HENDERSON,18333,31464,396,32303,75856,2410,150,4080,1630,37298,44078,82496,58339
